element,total_points
1.0,2.2038926600773587
4.0,3.147183169877773
5.0,3.221876441590839
6.0,2.504933763973336
7.0,1.708639363953742
8.0,0.5773502691896257
10.0,3.853992847627667
11.0,1.1547005383792515
12.0,1.2065821380413584
13.0,0.894427190999916
14.0,3.095417450910668
15.0,2.7441103920891434
16.0,3.889596901890557
17.0,1.9049619135399496
19.0,2.084134752085811
20.0,3.671578380598465
21.0,3.506998497510152
22.0,4.020532885661387
23.0,4.230768634604909
26.0,3.3847846190405133
28.0,0.0
30.0,2.5389716051177493
32.0,1.007326105267277
33.0,2.2001782458986114
34.0,0.47016234598162715
35.0,2.7083910193987153
36.0,5.15687954032345
37.0,0.0
38.0,4.0422458550656
39.0,2.677990779555564
40.0,2.9323660841757517
41.0,0.747756501105966
42.0,2.4299715851758235
43.0,2.9623034010478273
44.0,4.30595877906819
45.0,3.8114226157551356
47.0,0.0
49.0,0.0
50.0,2.0277791082581236
51.0,3.3203827678359206
52.0,2.350494138481409
53.0,1.0421283281625766
54.0,0.0
55.0,3.1420026179377727
56.0,3.3636714634883282
58.0,2.7260003107548596
59.0,2.9485989196519133
60.0,1.101910908500875
61.0,3.775393901841797
62.0,2.4816832384623804
63.0,2.689633243423159
64.0,3.7963180524442817
67.0,2.809627949852055
69.0,2.338301950599315
70.0,2.3937827968367076
71.0,2.718854229747956
72.0,0.4629100498862757
73.0,0.5113099925649136
74.0,2.8970309735207285
75.0,1.173295945882102
76.0,3.3954822702810556
77.0,2.1482759399263625
78.0,4.096609761554246
79.0,0.0
80.0,2.4405986435975984
81.0,2.356399300333535
82.0,1.0914103126634984
83.0,2.590907107206426
84.0,3.0158959556490914
85.0,1.3719886811400708
86.0,1.181829645708471
87.0,2.059714602177749
88.0,1.0894095588038444
89.0,3.086161085216136
90.0,1.9309509130403675
91.0,2.810835045105573
96.0,2.8149067328685167
97.0,0.0
98.0,2.5327353805912876
100.0,2.4480101354341666
101.0,1.926088024529546
102.0,0.5163977794943223
103.0,0.31622776601683794
104.0,1.9987897124458969
105.0,1.198131032233825
106.0,3.5007880314127413
107.0,1.2589303635933793
108.0,1.1338934190276817
109.0,2.1540740745213527
110.0,3.1619973039764937
111.0,2.0210310725455223
112.0,2.7208268138058034
113.0,2.480204110426908
115.0,2.5378608096240147
118.0,0.667653225351659
119.0,2.450674502099264
121.0,3.7317914305472635
122.0,4.149398560937286
123.0,3.831098836592362
124.0,2.309401076758503
125.0,3.4342809603009643
127.0,3.6027277469235983
128.0,2.628738912505435
129.0,2.5495097567963922
130.0,2.0084136750669868
131.0,3.049590136395381
132.0,1.227197193189148
133.0,2.6754242162397546
134.0,3.2531589222303414
135.0,4.817550332771958
137.0,3.149821137849412
138.0,5.635682096997017
140.0,2.981937964309202
141.0,3.3555960815712966
142.0,6.459344955558726
